id_calon,ringkasan
1200-00-0000-0017,Alamat: Jl. S. Parman No. 109 Medan
1200-00-0000-0017,Lulus Tahun:1979
1200-00-0000-0017,SMA Imanuel Medan
1200-00-0000-0017,Alamat: Jl. Selamet Riyadi No. 1 Medan
1200-00-0000-0017,Lulus Tahun: 1982
1200-00-0000-0017,Fakultas Hukum USU
1200-00-0000-0017,Alamat: Jl. Universitas No. 4 Medan
1200-00-0000-0017,Lulus Tahun: 1987
1200-00-0000-0017,Akta IV UNIMED
1200-00-0000-0017,AlamatJl. Willem Iskandar Pasar V Medan
1200-00-0000-0017,Lulus Tahun1991
1200-00-0000-0017,Magister Manajemen USU
1200-00-0000-0017,AlamatJl. Civitas Akademika No.1 Medan
1200-00-0000-0017,Lulus Tahun2006
1200-00-0000-0018,SD Muhammadiyah 1 Medan Lulus 1986
1200-00-0000-0018,ST Negeri 3 Medan Lulus 1989
1200-00-0000-0018,SMT Pertanian Lancang Kuning Medan Lulus 1992
1200-00-0000-0018,S 1 / Fisip UMSU Lulus 2000
1200-00-0000-0018,S 2 / MAP UMA Lulus 2008
1200-00-0000-0019,SD 064981 Medan (Tamat 1992)
1200-00-0000-0019,SMP Alwashliyah 8 Medan (Tamat 1996)
1200-00-0000-0019,SMA Dharmawangsa Medan (Tamat 1999)
1200-00-0000-0019,Strata 1 UMSU Medan (Tamat 2009)
1200-00-0000-0020,SD Negeri 010009 Desa Kapias Batu VIII. Kec: Tanjung Balai - Asahan. 1973
1200-00-0000-0020,PGA-4 Tahun Jalan Jamin Ginting. Kota Tanjung Balai 1978
1200-00-0000-0020,PGA-6 Tahun Jalan Jamin Ginting. Kota Tanjung Balai 1980
1200-00-0000-0020,Sarjana Muda IAIN SU Kampus I. Jalan IAIN 1. 20235. Kampus II. Jalan Williem Iskandar Pasar V. Medan Estate. 1984
1200-00-0000-0020,Sarjana Lengkap IAIN SU Kampus I. Jalan IAIN 1. 20235. Kampus II. Jalan Williem Iskandar Pasar V. Medan Estate. 1988
1200-00-0000-0021,SD: SD Nasrani 1 Medan Tamat Tahun 1954
1200-00-0000-0021,SMP: SLTP Negeri 1 Tanjung Pinang. Tamat Tahun 1959
1200-00-0000-0021,SLTA: SMA-K BPK PENABUR Sukabumi. Tamat Tahun 1962
1200-00-0000-0021,S1: Universitas Kinki Osaka-Japan Tamat Tahun 1966
1200-00-0000-0022,"SD Negeri No. 1 Natal, Lulus tahun 1967."
1200-00-0000-0022,"SMP Negeri Natal, Lulus tahun 1970."
1200-00-0000-0022,"SP IAIN P. Sidempuan, Lulus tahun 1973."
1200-00-0000-0022,"S1 Fakultas Tarbiyah IAIN Sumatera Utara Medan, Lulus Tahun 1981."
1200-00-0000-0022,"S2 Magister Administrasi Publik Univesitas Medan Area, Lulus Tahun 2006."
1200-00-0000-0023,SD Negeri Ambslutu Lukus Tahun 1980
1200-00-0000-0023,SMP Daerah Sei Silau Lulus Tahun 1983
1200-00-0000-0023,SMP Daerah Kisaran Lulus Tahun 1986
1200-00-0000-0023,S-1 Ekonomi Universitas Medan Area Lulus Tahun 1991
1200-00-0000-0023,S-2 PWD Universitas Sumatera Utara Lulus Tahun 1998
1200-00-0000-0023,S-3 Ekonomi Universitas Padjadjaran BandungLulus Tahun 2006
1200-00-0000-0024,SD Negeri Orahili-Telukdalam Nias Selatan 1983
1200-00-0000-0024,SMP Negeri 1 Telukdalam Nias Selatan 1986
1200-00-0000-0024,SMP Negeri 1 Gunungsitoli Nias 1989
1200-00-0000-0024,S-1 Fakultas Pertanian Universitas HKBP Nommensen Medan 1997
1200-00-0000-0024,S-2 Magister Studi Pembangunan Sekolah Pascasarjana Universitas Sumatera Utara Medan 2008
1300-00-0000-0001,SI Fak. Hukum Unand Tahun Lulus 1983 (Ijasah terlampir)
1300-00-0000-0001,SMA Negeri 1 Padang Tahun Lulus 1973 (Ijasah terlampir)
1300-00-0000-0001,SMA Negeri 1Simabur Tahun Lulus 1970 (Ijasah terlampir)
1300-00-0000-0001,SD Negeri Sei Jambu Tahun Lulus 1968 (Ijasah terlampir)
1300-00-0000-0002,SEKOLAH TINGGI ILMU HUKUM STIH YPKM PADANG TAHUN 2000
1300-00-0000-0002,UNIVERSITAS EKASAKTI PADSNG TAHUN 2003
1300-00-0000-0002,SEKOLAH TINGGI ILMU EKONOMI KBP PADANG TAHUN 2006
1300-00-0000-0003,"Institut Teknologi Bandung (ITB), Jurusan Elektro Teknik Lulus Tahun 1984 (Sl)"
1300-00-0000-0003,"lstitut Pendidikan dan Pengembanean Manajemen (PPM), Jurusan General Management, Lulus Tahun 2002(s2)"
1300-00-0000-0004,SD:tahun 1973-1979
1300-00-0000-0004,SMP:Tahun 1979-1982
1300-00-0000-0004,SMA: tahun 1982-1986
1300-00-0000-0004,Perguruan Tinggi: STISIP Padang tahun 1987-1994
1300-00-0000-0005,"SD 27 Padang Pasir, Padang"
1300-00-0000-0005,Dinniyyah Puteri Padang Panjang
1300-00-0000-0005,"SP IAIN, lulus tahun 1974"
1300-00-0000-0005,"IAIN Imam Bonjol Padang, lulus tahun 1977"
1300-00-0000-0006,"SD Negeri Takang Maur Kecamatan Guguk, Kabupaten 50 KOTA, lulus tahun 1966"
1300-00-0000-0006,"SMP Negeri Dangung-Dangung, Kecamatan Guguk, Kabupater 50 Kota, lulus tahun 1969"
1300-00-0000-0006,"SMA Neger 1 Payaumbuh, Sumatera Barat, lulus tahun 1972"
1300-00-0000-0006,"SI, ITB [Institut Teknologi Bandung], Jurusan Elektroteknik, Jl. Ganesha 10 Bandung, lulus tahun 1979"
1300-00-0000-0006,"S2, University of Manchester, Electrical Power System Analyses, Manchester Inggris, lulus tahun 1988"
1300-00-0000-0006,"S3 [Doktor], ITB [Institut Teknologi Bandung], Bidang Energi dan Ketenagalistrikan, Jl. Ganesha 10 Bandung, lulus tahun 2004."
1300-00-0000-0007,"SD, tamat tahun 1969 di Pekanbaru"
1300-00-0000-0007,"PGA 4 Tahun, tamat tahun 1973 di Pekanbaru"
1300-00-0000-0007,"PGA 6 Tahun, tamat tahun 1975 di Pekanbaru"
1300-00-0000-0007,"Fakultas Tarbiyah IAIN Imam Bonjol, tamat tahun 1984 di Padang"
1300-00-0000-0008,"Master of Business Administration (MBA) Universitas Bridgeport, Connecticut Thn 1987 126 Park Evenue, Bridgeport, CT 06604, USA"
1300-00-0000-0008,"Sarjana Ekonomi, Universitas Kristen Indonesia, Jakarta, Tahun 1985. Jalan Letjen Sutoyo no 2, Cawang, Jakarta 13630"
1300-00-0000-0008,"SMA Negeri No. 2 Padang, Tahun 1979. Jl. Musi No. 2 Purus Alas Padang, SumateraBarat"
1300-00-0000-0009,"SARJANA SASTRA, UNIV. NASIONAL - JAKARTA, Tahun 1992"
1300-00-0000-0009,"MAGISTER SAINS (M.Si), FAK. ILMU KOMUNIKASI UNIVERSITAS Prof. Dr. MOESTOPO - JAKARTA, Tahun 2008"
1300-00-0000-0010,SDN 2 Paninggahan Tamat Tahun 1981
1300-00-0000-0010,SMPN Paninggahan Tamat Tahun 1984
1300-00-0000-0010,SMAN 1 Singkarak Tamat Tahun 1987
