id_calon,riwayat_pendidikan
1302-00-0000-0702,"SD Negeri 19 Bukit Apit, Bukittingi, Tahun 1976."
1302-00-0000-0401,SD 01 Negri Ujung Gading
1302-00-0000-0401,SMP 01 Negri Ujung Gading
1302-00-0000-0401,SMA Sederajat Kota Padang
1401-00-0000-0502,"1961-1967, SD, SDN BANGKO KANAN, BANGKO KANAN"
1401-00-0000-0502,"1968-1971, SLTP, SMP BUDAYA JAKARTA, JAKARTA"
1401-00-0000-0502,"1972-1974, SLTA, SMA BUDAYA JAKARTA, JAKARTA"
1401-00-0000-0502,"1978-1984, S1, UNIV. KRRISNADWIPAYANA, JAKARTA"
1401-00-0000-0601,SDN lmpres Bangun 1983
1401-00-0000-0601,SMP Taman Siswa 1986
1401-00-0000-0601,SMA Taman Siswa 1989
1401-00-0000-0601,STIH Persada Bunda 2013
1401-00-0000-0301,SARJANA MIPA UI LULUS TAHUN 1989
1401-00-0000-0301,APOTEKER UI LULUS TAHUN 1991
1401-00-0000-0701,Sekolah Rakyat Pariaman - 1960
1401-00-0000-0701,SMPN 1 Periaman - 1963
1401-00-0000-0701,STMN Padang 1967
1401-00-0000-0701,Institute Pelayaran Niaga - 1968
1401-00-0000-0701,Institute Pelayaran Mulia - 1986
1401-00-0000-0701,Univ. Wiraswasta Indonesia Sl - 2007
1401-00-0000-0701,Univ. Jayabaya S2 - 2009
1401-00-0000-0401,"SD. Negeri 04 Tebing Tinggi, Deli - SUMUT (1969)"
1401-00-0000-0401,"SMP Negeri 11 Tebing Tinggi, Deli - SUMUT (1972)"
1401-00-0000-0401,STM HKBP - Pematang Siantar (1977)
1401-00-0000-0401,"ATN/STTN Fakultas Tehnik Sipil, Jakarta (1985)"
1401-00-0000-0401,"Universitas Darma Agung. Tehnik Sipil, Medan (1991)"
1401-00-0000-0801,"Pasca Sarjana Universitas Gajah Mada Yogyakarta, Yogyakarta, 2010-2012"
1401-00-0000-0801,"Fakultas Ekonomi Universitas Jaya Baya Jakarta, Jakarta, 1981-1987"
1401-00-0000-0801,"Sekolah Menengah Atas Negeri no 24 Jakarta, Jakarta, 1977-1981"
1401-00-0000-0801,"Sekolah Menengah Pertama Negeri no 1 Bengkalis, Riau, Bengkalis, Riau, 1974-1977"
1401-00-0000-0801,"Sekolah Dasar Negeri no 8 Bengkalis - Riau, Bengkalis, Riau, 1968-1974"
1402-00-0000-0501,"1971-1977, SD, SDN 2 PULAU KIJANG_INHIL, RIAU"
1402-00-0000-0501,"1978-1981, SLTP, MADRASAH IBTIDAYAH DDI, PULAU KIJANG"
1402-00-0000-0501,"1981-1984, SLTA, SMAN 15, JAKARTA"
1402-00-0000-0501,"1985-1989, SI, FAK.TEKHINIK & PERSENCANAAN UNIV.TRI SAKTI, JAKARTA"
1402-00-0000-0201,"SARJANA (S1] TEIKNIK SIPIL UNIVERSITAS BRAWIJAYA, MALANC(1961)"
1402-00-0000-0201,"MAGISTER (S2) KEBIJAKAN POLITIK UNIVERSITAS PADJAJARAN, BANDUNG (2005)"
1402-00-0000-0201,"DOKTORAL (S3) SOSIOLOGI DAN ANTOPOLOGI UNIVERSITAS MALAYA, KUALA LUMPUR, MALAYSIA (2010)"
1402-00-0000-0601,SD Negeri33 Pekanbaru Tamat Tahun 1976
1402-00-0000-0601,SMP Negeri 3 TanjungPinang Tamat Tahun 1980
1402-00-0000-0601,SMPP Negeri 49 Pekanbaru Tamat Tahun 1983
1402-00-0000-0601,Universitas Lancang Kuning Tamat Tahun 1992 S-1 Fakultas Ekonomi
1402-00-0000-0701,"SD Siantar, Tahun 1985"
1402-00-0000-0701,"SMP Swasta GUPPI Simalungun, Tahun 1991"
1402-00-0000-0701,"SMA PKBM Permnas Medan, Tahun 2007"
1402-00-0000-0701,Sedang kuliah S1 Hukum Lingkungan Universitas Tamajagakarsa Jakarta
1402-00-0000-0401,FAKULTAS HUKUM UNIVERSITAS INDONESIA Di Jakarta-tahun 1983
1402-00-0000-0401,SMA ADIDARMA di Banda Aceh-tahun 1972
1402-00-0000-0401,SMP PERSIT KCK di Banda Aceh-tahun 1969
1402-00-0000-0401,SR Negri XI di Pematang Siantar-tahun 1965
1501-00-0000-0506,"1983-1989, SD, SDN MANUKAN WETAN II/555, SURABAYA"
1501-00-0000-0506,"1989-1992, SLTP, SMP TRIKARYA, SURABAYA"
1501-00-0000-0506,"1992-1995, SLTA, SMU BUDI UTOMO, JOMBANG"
1501-00-0000-0506,"2006-2009, DIPLOMA, AKUTANSI MANGEMENT PEMBANGUNAN, JAMBI"
1501-00-0000-0506,"2008-2011, DIPLOMA, KEBIDANAN MUARA BUNGO, JAMBI"
1501-00-0000-0901,SD Negeri 1 Koto Baru Tamat Tahun 1980
1501-00-0000-0901,SMP Negeri 2 Wonotiung Tamat Tahun 1983
1501-00-0000-0901,SMA Solok Jurusan Biologi IPA Tamat Tahun 1986
1501-00-0000-0901,SI Pendidikan Biologi Tamat Tahun 1990
1501-00-0000-0901,S2 Biologi IPB Bogor Tamat Tahun 2000
1501-00-0000-0901,S3 Biologi IPB Bogor Sedang Kuliah
1501-00-0000-0201,"0-2002, UNAD, JAMBI"
1501-00-0000-0201,"0-1979, SDN 41 JAMBI, JAMBI"
1501-00-0000-0201,"1979-1982, SMPN 7 JAMBI, JAMBI"
1501-00-0000-0201,"0-1985, SMA PURNAMA, JAMBI"
1501-00-0000-0201,"0-1990, AKPER JAMBI, JAMBI"
1501-00-0000-0601,SD Negeri di sabajior Madina (Sumut) Thn. 1981.
1501-00-0000-0601,SMP Negeri di kayulaut Madina (Sumut) Thn. 1984.
1501-00-0000-0601,SMA Negeri di Tonobato Madina (Sumut) Thn. 1984.
1501-00-0000-0601,S1 Universitas Islam Sumatera Utara Tahun 1992.
1501-00-0000-0601,S2 Universitas Jambi (UNJA) Tahun 2007.
1501-00-0000-0703,SDN TANAH TUMBUH
1501-00-0000-0703,SMPN MUARA BUNGO JAMBI
1501-00-0000-0703,SMAN BANGO JAMBI
1501-00-0000-0703,AKADEMI TATALAKSANA PALEYARAN NIAGA VETERAN 1970 JAKARTA
1501-00-0000-0703,S1 UNIVERSITAS 17 AGUSTUS 1845 JKT
1501-00-0000-0401,SD Al Azhar Jakarta 1984-1990
1501-00-0000-0401,SMP Al Azahr Jakarta 1990 - 1993
1501-00-0000-0401,SMAN 8 Jakarta 1993 -1996
1501-00-0000-0401,Bachelor Degree University of Queensland 1997 - 2001
1501-00-0000-0401,Master Degree University of Queensland Australia 2001 - 2003
1501-00-0000-0802,"STIE MUHAMMADIYAH, KOTA JAMB1, Jambi, 2001-2005"
1501-00-0000-0802,"SMA XAVERIUS JAMBI, Jambi, 1985-1988"
1501-00-0000-0802,"SMPN NO.9 JAMBI, Jambi, 1982-1985"
1501-00-0000-0802,"SDN 28/V JAMBI, Jambi, 1976-1982"
1601-00-0000-0501,2010-2010. SI. SOLAN SCHOOL OF MANAGEMENT. CAMBRIDGE MA. USA
1601-00-0000-0501,1997-1997. S2 SOLVAY BUSINESS SCHOOL BRUSSELS BELGIUM
1601-00-0000-0501,1991-1996 S1. UNIVERSITY OF LEUVEN LOUVAINLANEUVE-BELGIUM
1601-00-0000-0501,1997-1983. SD. SD NEGERI. INDONESIA AND CANADA
1601-00-0000-0501,1983-1986. SLTP. SMP INDONESIA DAN CANADA
1601-00-0000-0501,"1989-1990, SLTA, SMA, INDONESIA DAN CANADA"
1601-00-0000-0505,"1962-1965, SLTA, STM BHINEKA KARAYA, SURAKARTA"
1601-00-0000-0505,"1966-1973, SI, IKIP, YOGYAKARTA"
1601-00-0000-0601,SD Xaverius lmmanuel Tanjung Enim tahun lulus 1985
1601-00-0000-0601,SLTP Negeri 1 Tanjung Enim tahun lulus 1988
1601-00-0000-0601,SLTA Negeri 1 Muara Enim tahun lulus 1991
1601-00-0000-0601,Univ Prof. Dr Moeastopo (Beragama) Jakarta tahun lulus 1997
