id,nama_calon,nama_wakil_calon,qwords
940,"H. KHARUDDIN SYAH, SE ALIAS H.BUYUNG",DWI PRANTARA,"info pasangan calon H. KHARUDDIN SYAH, SE ALIAS H.BUYUNG DWI PRANTARA"
47,H. ALI WANSAH,Drs. H. DARWANSYAH,info pasangan calon H. ALI WANSAH Drs. H. DARWANSYAH
541,"H. MINAN PASARIBU, SH, MM",Ir. H. YUSRIAL SUPRIANTO,"info pasangan calon H. MINAN PASARIBU, SH, MM Ir. H. YUSRIAL SUPRIANTO"
1055,H. MUJIANTO,"SUEB, S.Pd., MM","info pasangan calon H. MUJIANTO SUEB, S.Pd., MM"
1057,"H. NURSALIM, Amd.RO","H. EDY WIJAYA, SE","info pasangan calon H. NURSALIM, Amd.RO H. EDY WIJAYA, SE"
1043,"H. FADELI, SH., MM.","Dra. Hj. KARTIKA HIDAYATI, MM., MHP","info pasangan calon H. FADELI, SH., MM. Dra. Hj. KARTIKA HIDAYATI, MM., MHP"
1195,"M. SHOLEH BAJURI, S.Hi,M.Hi",AHMAD NGADELAN JAWAWI,"info pasangan calon M. SHOLEH BAJURI, S.Hi,M.Hi AHMAD NGADELAN JAWAWI"
601,"DR. H. Zainudin Hasan, MHum",Nanang Ermanto,"info pasangan calon DR. H. Zainudin Hasan, MHum Nanang Ermanto"
602,"HI. RYCKO MENOZA SZP, SE., SH., MBA","H. EKI SETYANTO,SE","info pasangan calon HI. RYCKO MENOZA SZP, SE., SH., MBA H. EKI SETYANTO,SE"
252,SAMIDJO,FATONI,info pasangan calon SAMIDJO FATONI
594,"DR. IR. H. MUSTAFA, M.H.",LOEKMAN DJOYOSOEMARTO,"info pasangan calon DR. IR. H. MUSTAFA, M.H. LOEKMAN DJOYOSOEMARTO"
10,"MUDIYANTO THOYIB, B.A","MUSA AHMAD, S.Sos","info pasangan calon MUDIYANTO THOYIB, B.A MUSA AHMAD, S.Sos"
599,"H. GUNADI IBRAHIM, S.E.",K.H. IMAM SUHADI,"info pasangan calon H. GUNADI IBRAHIM, S.E. K.H. IMAM SUHADI"
932,Chusnunia Chalim,Zaiful Bukhori,info pasangan calon Chusnunia Chalim Zaiful Bukhori
933,Erwin Arifin,Priyo Budi Utomo,info pasangan calon Erwin Arifin Priyo Budi Utomo
939,Yusron Amirullah,Sudarsono,info pasangan calon Yusron Amirullah Sudarsono
665,"H. ROSJONSYAH, SIP, M.Si","WAWAN FERNANDEZ, SH, MKN","info pasangan calon H. ROSJONSYAH, SIP, M.Si WAWAN FERNANDEZ, SH, MKN"
670,"Hj. LENI HARYATI JOHN LATIEF, SE, M.Si",H.R. ARIO BIMO SUROJO,"info pasangan calon Hj. LENI HARYATI JOHN LATIEF, SE, M.Si H.R. ARIO BIMO SUROJO"
142,"MASROPENIRYADI, SE, M.Si","DERI JATI PRASETIO, SH","info pasangan calon MASROPENIRYADI, SE, M.Si DERI JATI PRASETIO, SH"
147,"WILYAN BACHTIAR, SIP",ARPAN FARUK,"info pasangan calon WILYAN BACHTIAR, SIP ARPAN FARUK"
695,KOPLI ANSORI,ERLAN JONI,info pasangan calon KOPLI ANSORI ERLAN JONI
66,"H. RIFA YENDI, SH","ZULHIKMI,SPd","info pasangan calon H. RIFA YENDI, SH ZULHIKMI,SPd"
787,"IR. IRFENDI ARBI, MP","FERIZAL RIDWAN,S.SOS","info pasangan calon IR. IRFENDI ARBI, MP FERIZAL RIDWAN,S.SOS"
559,"DRS.H.ASYIRWAN YUNUS, M.SI","H. ILSON CONG,SE","info pasangan calon DRS.H.ASYIRWAN YUNUS, M.SI H. ILSON CONG,SE"
893,"H. AZWAR CHES PUTRA, SE",IR. YUNIRWAN KHATIB,"info pasangan calon H. AZWAR CHES PUTRA, SE IR. YUNIRWAN KHATIB"
820,Harlianto S.kom,Al Ghazali AW.S.Ag,info pasangan calon Harlianto S.kom Al Ghazali AW.S.Ag
823,Mohd.Ikhsan Fansuri ST,H. Isnin SPd.MSi,info pasangan calon Mohd.Ikhsan Fansuri ST H. Isnin SPd.MSi
825,Usman Taufik,Hj. Siti Aisyah. SE,info pasangan calon Usman Taufik Hj. Siti Aisyah. SE
816,H. Alias Wello. S. IP,M.Nizar S. Sos,info pasangan calon H. Alias Wello. S. IP M.Nizar S. Sos
