id,entity_type,entity_id,sub_districts_id,voice,description
427,Party,6,24,174,Perolehan Suara Partai
428,Party,6,25,146,Perolehan Suara Partai
429,Party,6,26,161,Perolehan Suara Partai
430,Party,6,27,263,Perolehan Suara Partai
431,Party,6,28,66,Perolehan Suara Partai
432,Party,7,20,90,Perolehan Suara Partai
433,Party,7,21,28,Perolehan Suara Partai
434,Party,7,22,82,Perolehan Suara Partai
435,Party,7,23,18,Perolehan Suara Partai
436,Party,7,24,85,Perolehan Suara Partai
437,Party,7,25,70,Perolehan Suara Partai
438,Party,7,26,17,Perolehan Suara Partai
439,Party,7,27,43,Perolehan Suara Partai
440,Party,7,28,51,Perolehan Suara Partai
441,Party,8,20,545,Perolehan Suara Partai
442,Party,8,21,93,Perolehan Suara Partai
443,Party,8,22,1049,Perolehan Suara Partai
444,Party,8,23,558,Perolehan Suara Partai
445,Party,8,24,278,Perolehan Suara Partai
446,Party,8,25,463,Perolehan Suara Partai
447,Party,8,26,213,Perolehan Suara Partai
448,Party,8,27,505,Perolehan Suara Partai
449,Party,8,28,198,Perolehan Suara Partai
450,Party,9,20,5454,Perolehan Suara Partai
451,Party,9,21,4233,Perolehan Suara Partai
452,Party,9,22,8880,Perolehan Suara Partai
453,Party,9,23,2334,Perolehan Suara Partai
454,Party,9,24,7268,Perolehan Suara Partai
455,Party,9,25,6499,Perolehan Suara Partai
456,Party,9,26,1929,Perolehan Suara Partai
457,Party,9,27,6778,Perolehan Suara Partai
458,Party,9,28,4698,Perolehan Suara Partai
459,Party,10,20,138,Perolehan Suara Partai
460,Party,10,21,91,Perolehan Suara Partai
461,Party,10,22,113,Perolehan Suara Partai
462,Party,10,23,68,Perolehan Suara Partai
463,Party,10,24,199,Perolehan Suara Partai
464,Party,10,25,155,Perolehan Suara Partai
465,Party,10,26,54,Perolehan Suara Partai
466,Party,10,27,117,Perolehan Suara Partai
467,Party,10,28,145,Perolehan Suara Partai
468,Party,11,20,260,Perolehan Suara Partai
469,Party,11,21,128,Perolehan Suara Partai
470,Party,11,22,228,Perolehan Suara Partai
471,Party,11,23,118,Perolehan Suara Partai
472,Party,11,24,189,Perolehan Suara Partai
473,Party,11,25,247,Perolehan Suara Partai
474,Party,11,26,87,Perolehan Suara Partai
475,Party,11,27,236,Perolehan Suara Partai
476,Party,11,28,237,Perolehan Suara Partai
477,Party,15,20,4133,Perolehan Suara Partai
478,Party,15,21,7429,Perolehan Suara Partai
479,Party,15,22,37431,Perolehan Suara Partai
480,Party,15,23,4883,Perolehan Suara Partai
481,Party,15,24,12007,Perolehan Suara Partai
482,Party,15,25,6963,Perolehan Suara Partai
483,Party,15,26,6136,Perolehan Suara Partai
484,Party,15,27,9231,Perolehan Suara Partai
485,Party,15,28,2254,Perolehan Suara Partai
486,Party,16,20,1954,Perolehan Suara Partai
487,Party,16,21,1891,Perolehan Suara Partai
488,Party,16,22,4518,Perolehan Suara Partai
489,Party,16,23,906,Perolehan Suara Partai
490,Party,16,24,4396,Perolehan Suara Partai
491,Party,16,25,2252,Perolehan Suara Partai
492,Party,16,26,795,Perolehan Suara Partai
493,Party,16,27,2369,Perolehan Suara Partai
494,Party,16,28,1438,Perolehan Suara Partai
495,Party,17,20,204,Perolehan Suara Partai
496,Party,17,21,113,Perolehan Suara Partai
497,Party,17,22,558,Perolehan Suara Partai
498,Party,17,23,125,Perolehan Suara Partai
499,Party,17,24,212,Perolehan Suara Partai
500,Party,17,25,182,Perolehan Suara Partai
501,Party,17,26,106,Perolehan Suara Partai
502,Party,17,27,288,Perolehan Suara Partai
503,Party,17,28,222,Perolehan Suara Partai
504,Party,18,20,9025,Perolehan Suara Partai
505,Party,18,21,4507,Perolehan Suara Partai
506,Party,18,22,138114,Perolehan Suara Partai
507,Party,18,23,6549,Perolehan Suara Partai
508,Party,18,24,12794,Perolehan Suara Partai
509,Party,18,25,9047,Perolehan Suara Partai
510,Party,18,26,3685,Perolehan Suara Partai
511,Party,18,27,18602,Perolehan Suara Partai
512,Party,18,28,11010,Perolehan Suara Partai
513,Party,19,20,2865,Perolehan Suara Partai
514,Party,19,21,1672,Perolehan Suara Partai
