id,jenis_wilayah,nama_wilayah,jumlah_ppk,jumlah_pps,jumlah_tps,jumlah_kpps
181,KABUPATEN,KAB. SORONG SELATAN,13,123,0,0
182,KABUPATEN,KAB. RAJA AMPAT,24,121,152,0
183,KABUPATEN,KAB. TELUK BINTUNI,24,117,0,0
184,KABUPATEN,KAB. TELUK WONDAMA,13,77,0,0
185,KABUPATEN,KAB. KAIMANA,7,86,151,151
186,KABUPATEN,KAB. MANOKWARI SELATAN,6,57,0,0
187,KABUPATEN,KAB. PEGUNUNGAN ARFAK,10,166,0,0
188,KABUPATEN,KAB. INDRAGIRI HULU,14,194,0,0
189,KABUPATEN,KAB. BENGKALIS,8,155,0,0
190,KABUPATEN,KAB. PELALAWAN,12,118,656,4592
191,KABUPATEN,KAB. ROKAN HULU,80,435,963,6741
192,KABUPATEN,KAB. ROKAN HILIR,15,184,0,0
193,KABUPATEN,KAB. SIAK,14,131,0,0
194,KABUPATEN,KAB. KUANTAN SINGINGI,75,687,0,0
195,KABUPATEN,KAB. KEPULAUAN MERANTI,9,101,410,2870
196,KABUPATEN,KAB. PASAMAN BARAT,11,19,806,806
197,KABUPATEN,KAB. PACITAN,0,0,740,0
198,KABUPATEN,KAB. MAMUJU UTARA,12,63,0,0
199,KABUPATEN,KAB. MAMUJU,55,297,551,4959
200,KABUPATEN,KAB. MAJENE,11,100,0,0
201,KABUPATEN,KAB. MAMUJU TENGAH,5,54,0,0
202,KABUPATEN,KAB. PAKPAK BHARAT,40,156,109,763
203,KABUPATEN,KAB. KEPULAUAN SELAYAR,11,88,0,0
204,KABUPATEN,KAB. BULUKUMBA,10,136,0,0
205,KABUPATEN,KAB. GOWA,18,167,0,0
206,KABUPATEN,KAB. MAROS,14,103,631,4417
207,KABUPATEN,KAB. PANGKAJENE KEPULAUAN,13,103,0,0
208,KABUPATEN,KAB. BARRU,7,55,423,2961
209,KABUPATEN,KAB. SOPPENG,8,70,503,0
210,KABUPATEN,KAB. TANA TORAJA,19,159,530,3710
211,KABUPATEN,KAB. LUWU TIMUR,11,127,436,3052
212,KABUPATEN,KAB. TORAJA UTARA,21,151,0,0
213,KABUPATEN,KAB. BANGGAI,23,377,713,2639
214,KABUPATEN,KAB. POSO,19,170,480,3360
215,KABUPATEN,KAB. DONGGALA,16,167,0,0
216,KABUPATEN,KAB. TOLI TOLI,10,104,0,0
217,KABUPATEN,KAB. MOROWALI,9,133,0,0
218,KABUPATEN,KAB. PARIGI MOUTONG,23,283,0,0
219,KABUPATEN,KAB. TOJO UNA UNA,12,146,0,0
220,KABUPATEN,KAB. SIGI,15,176,533,533
221,KABUPATEN,KAB. BANGGAI LAUT,7,66,0,0
222,KABUPATEN,KAB. MOROWALI UTARA,9,125,0,0
223,KOTA,KOTA PALU,8,45,621,4347
224,KABUPATEN,KAB. MUNA,22,150,321,2247
225,KABUPATEN,KAB. KONAWE SELATAN,22,356,0,0
226,KABUPATEN,KAB. WAKATOBI,8,102,0,0
227,KOTA,KOTA SIBOLGA,20,51,184,1656
228,KABUPATEN,KAB. BUTON UTARA,6,90,0,0
229,KABUPATEN,KAB. KOLAKA TIMUR,12,133,0,0
230,KABUPATEN,KAB. KONAWE KEPULAUAN,7,79,0,0
231,KABUPATEN,KAB. MINAHASA SELATAN,85,531,381,2667
232,KABUPATEN,KAB. BOLAANG MONGONDOW TIMUR,5,81,0,0
233,KOTA,KOTA MANADO,55,261,800,7200
234,KOTA,KOTA BITUNG,8,69,0,0
235,KOTA,KOTA TOMOHON,25,132,203,0
236,KOTA,KOTA BITUNG,8,69,0,0
237,KABUPATEN,KAB. MUSI RAWAS,70,199,840,5880
238,PROPINSI,SUMATERA SELATAN,20,312,1528,10696
239,KABUPATEN,KAB. OGAN KOMERING ULU SELATAN,19,259,790,5530
240,KABUPATEN,KAB. TAPANULI SELATAN,70,744,671,4697
241,KABUPATEN,KAB. KARO,17,265,0,0
