sumber,tanggal,judul,link,kind,tags
suara publik,8/15/2015,Rekom Asli DPP PAN Telah Berada Ditangan Abror?,http://suarapubliknews.net/politik/item/3647-rekom-asli-dpp-pan-telah-berada-ditangan-abror?,news,
suara publik,8/15/2015,"DPRD Surabaya Mulai Panas, Posisi Nasdem Terancam",http://suarapubliknews.net/politik/item/3646-dprd-surabaya-mulai-panas-posisi-nasdem-terancam,news,
antara news,8/17/2015,PKB dukung Rasiyo-Abror pada Pilkada Surabaya,http://www.antaranews.com/berita/512872/pkb-dukung-rasiyo-abror-pada-pilkada-surabaya,news,Rasiyo
surabaya kita,8/17/2015,Bambang DH : Rasiyo - Abror Bisa Kalahkan Incumbent,http://www.surabayakita.com/index.php?option=com_content&view=article&id=10244:bambang-dh-rasiyo-abror-bisa-kalahkan-incumbent&catid=29:politik&Itemid=47,news,Rasiyo
surabaya kita,8/17/2015,Surat Rekom Masih Disimpan DPP PAN,http://www.surabayakita.com/index.php?option=com_content&view=article&id=10243:surat-rekom-masih-disimpan-dpp-pan&catid=29&Itemid=47,news,
surabaya kita,8/15/2015,Rasiyo-Abror Besok Serahkan Rekom PAN ,http://www.surabayakita.com/index.php?option=com_content&view=article&id=10241:rasiyo-abror-besok-serahkan-rekom-pan-&catid=29&Itemid=47,news,Rasiyo
kabar surabaya,8/17/2015,KPU dan Panwaslu Kota Surabaya Akan dilaporkan ke DKPP,http://kabarsurabaya.com/?p=3389,news,
kabar surabaya,14-Aug-15,Konspirasi Panwaslu dan KPU Kota Surabaya Semakin Menguat,http://kabarsurabaya.com/?p=3363,news,
lensa indonesia,8/18/2015,PKB janji dukung Rasiyo-Abror,http://www.lensaindonesia.com/2015/08/18/pkb-janji-dukung-rasiyo-abror.html,news,Rasiyo
lensa indonesia,8/17/2015,Laporan dugaan pelanggaran pendaftaran Rasiyo-Abror diproses Panwaslu,http://www.lensaindonesia.com/2015/08/17/laporan-dugaan-pelanggaran-pendaftaran-rasiyo-abror-diproses-panwaslu.html#r=bacajuga,news,Rasiyo
lensa indonesia,8/17/2015,"Rekom PAN untuk Rasiyo-Dhimam Abror, Pakde Karwo: Yes, aman!",http://www.lensaindonesia.com/2015/08/17/rekom-pan-untuk-rasiyo-dhimam-abror-pakde-karwo-yes-aman.html#r=bacajuga,news,Rasiyo
lensa indonesia,8/17/2015,DPP dan DPW PAN Jatim ‘mencla-mencle’ soal rekomendasi Dhimam Abror,http://www.lensaindonesia.com/2015/08/17/dpp-dan-dpw-pan-jatim-mencla-mencle-soal-rekomendasi-dhimam-abror.html,news,
lensa indonesia,8/16/2015,"Rekomendasi PAN tidak jelas, Dhimam Abror disarankan mundur",http://www.lensaindonesia.com/2015/08/16/rekomendasi-pan-tidak-jelas-dhimam-abror-disarankan-mundur.html,news,
lensa indonesia,8/15/2015,Surat rekomendasi PAN untuk Rasiyo-Abror diserahkan ke KPU besok,http://www.lensaindonesia.com/2015/08/15/surat-rekomendasi-pan-untuk-rasiyo-abror-diserahkan-ke-kpu-besok.html,news,Rasiyo
