id,province_id,name,link,other_link,explanation,member_link
443,63,Kabupaten Tanah Laut,http://www.kpu-tanahlautkab.go.id/,http://kputanahlaut.blogspot.com/,,
444,63,Kabupaten Tapin,http://kpud-tapinkab.go.id/,,,
445,63,Kota Banjarbaru,http://kpu-banjarbarukota.go.id/kpu-kalimantan-selatan/,,,
446,63,Kota Banjarmasin,http://kpubanjarmasin.com/home.php,,,
447,61,Kabupaten Bengkayang,http://bengkayangkab.kpu.go.id/,http://kpu-bengkayang.blogspot.com/,Tidak Aktif,
448,61,Kabupaten Kapuas Hulu,http://kpu-kapuashulukab.go.id/kpukapuashulu,,,
449,61,Kabupaten Kayong Utara,,,,
450,61,Kabupaten Ketapang,http://www.kpuketapang.com/home,,,
451,61,Kabupaten Kubu Raya,http://kpukuburaya.com/,,,
452,61,Kabupaten Landak,http://kpu-landakkab.go.id/depan,,,
453,61,Kabupaten Melawi,http://kpu-melawikab.go.id/depan,,,
454,61,Kabupaten Mempawah,,,,
455,61,Kabupaten Sambas,http://kpu-sambaskab.go.id/depan,,,
456,61,Kabupaten Sanggau,http://kpu-sanggaukab.go.id/depan,,,
457,61,Kabupaten Sekadau,http://www.kpu-sekadaukab.go.id/,,,
458,61,Kabupaten Sintang,http://kpud-sintangkab.go.id/,,,
459,61,Kota Pontianak,http://www.kpukabpontianak.com/,http://www.kpupontianak.com/,,
460,61,Kota Singkawang,http://kpu-kotasingkawang.weebly.com/,,,
461,65,Kabupaten Bulungan,http://bulungankab.kpu.go.id/index.php,http://kpubulungan.blogspot.com/,Tidak Aktif,
462,65,Kabupaten Malinau,http://malinaukab.kpu.go.id/,,Tidak Aktif,
463,65,Kabupaten Nunukan,http://nunukankab.kpu.go.id/,http://kpunnk.blogspot.com/,Tidak Aktif,
464,65,Kabupaten Tana Tidung,http://tanatidungkab.kpu.go.id/,,Tidak Aktif,
465,65,Kota Tarakan,http://kpu.tarakankota.go.id/,,,
466,92,Kabupaten Fakfak,http://fakfakkab.kpu.go.id/,,Tidak Aktif,
467,92,Kabupaten Kaimana,http://kaimanakab.kpu.go.id/,,Tidak Aktif,
468,92,Kabupaten Manokwari,http://manokwarikab.kpu.go.id/,,Tidak Aktif,
469,92,Kabupaten Manokwari Selatan,,,,
470,92,Kabupaten Maybrat,http://maybratkab.kpu.go.id/,,Tidak Aktif,
471,92,Kabupaten Pegunungan Arfak,,,,
472,92,Kabupaten Raja Ampat,http://rajaampatkab.kpu.go.id/,,,
473,92,Kabupaten Sorong,,,,
474,92,Kabupaten Sorong Selatan,http://sorongselatankab.kpu.go.id/,,Tidak Aktif,
475,92,Kabupaten Tambrauw,http://tambrauwkab.kpu.go.id/,,Tidak Aktif,
476,92,Kabupaten Teluk Bintuni,http://telbintunikab.kpu.go.id/,,Tidak Aktif,
477,92,Kabupaten Teluk Wondama,http://telwondamakab.kpu.go.id/,http://kputelukwondama.blogspot.com/,Tidak Aktif,
478,92,Kota Sorong,http://sorongkota.kpu.go.id/,,Tidak Aktif,
